narwhal_id	time_start	time_end	duration	dive_phase	meets_criteria	notes
asgeir	2018-08-27 19:34:36.0	2018-08-27 19:34:47.9	0:00:12	descent	N	
asgeir	2018-08-27 19:16:27.4	2018-08-27 19:16:35.2	0:00:08	bottom	Y	
asgeir	2018-08-27 19:14:59.7	2018-08-27 19:15:19.6	0:00:20	bottom	Y	
asgeir	2018-08-27 19:10:17.7	2018-08-27 19:10:23.5	0:00:06	bottom	Y	
asgeir	2018-08-27 19:09:45.9	2018-08-27 19:09:54.5	0:00:09	bottom	Y	
asgeir	2018-08-27 19:09:13.5	2018-08-27 19:09:22.2	0:00:09	bottom	Y	
asgeir	2018-08-27 19:08:33.4	2018-08-27 19:08:41.9	0:00:09	bottom	Y	
asgeir	2018-08-27 17:46:46.8	2018-08-27 17:46:57.9	0:00:11	bottom	N	
asgeir	2018-08-27 17:42:15.9	2018-08-27 17:42:47.0	0:00:31	descent	N	
asgeir	2018-08-27 17:22:36.9	2018-08-27 17:22:43.0	0:00:06	bottom	N	
asgeir	2018-08-27 17:22:19.1	2018-08-27 17:22:24.8	0:00:06	bottom	N	
asgeir	2018-08-27 17:21:43.2	2018-08-27 17:21:54.2	0:00:11	bottom	N	
asgeir	2018-08-27 17:19:51.4	2018-08-27 17:20:05.8	0:00:14	bottom	N	
asgeir	2018-08-27 17:03:45.9	2018-08-27 17:03:59.2	0:00:13	bottom	N	
asgeir	2018-08-27 17:02:13.5	2018-08-27 17:02:29.1	0:00:16	bottom	N	
asgeir	2018-08-27 16:59:50.6	2018-08-27 17:00:14.6	0:00:24	descent	N	
asgeir	2018-08-27 16:58:41.7	2018-08-27 16:59:25.1	0:00:43	descent	N	
asgeir	2018-08-27 15:44:21.4	2018-08-27 15:44:50.6	0:00:29	bottom	N	
asgeir	2018-08-27 15:42:27.7	2018-08-27 15:42:44.9	0:00:17	descent	N	smooth signal, gliding descent
asgeir	2018-08-27 15:38:38.5	2018-08-27 15:38:54.4	0:00:16	descent	N	smooth signal, gliding descent
asgeir	2018-08-27 14:04:12.8	2018-08-27 14:04:18.5	0:00:06	bottom	N	
asgeir	2018-08-27 14:03:27.1	2018-08-27 14:03:37.7	0:00:11	bottom	N	
asgeir	2018-08-27 14:02:16.6	2018-08-27 14:02:23.0	0:00:06	bottom	N	
asgeir	2018-08-27 14:02:11.2	2018-08-27 14:02:15.4	0:00:04	bottom	N	
asgeir	2018-08-27 14:00:46.5	2018-08-27 14:00:59.6	0:00:13	bottom	N	
asgeir	2018-08-27 14:00:34.8	2018-08-27 14:00:42.0	0:00:07	bottom	N	
asgeir	2018-08-27 12:54:10.4	2018-08-27 12:54:19.3	0:00:09	bottom	N	
asgeir	2018-08-27 12:10:08.1	2018-08-27 12:10:17.9	0:00:10	bottom	N	
asgeir	2018-08-27 12:05:28.5	2018-08-27 12:05:45.0	0:00:17	bottom	N	
asgeir	2018-08-27 12:04:15.2	2018-08-27 12:04:39.0	0:00:24	bottom	N	
asgeir	2018-08-27 12:03:04.2	2018-08-27 12:03:48.8	0:00:45	descent	N	
asgeir	2018-08-27 11:21:12.0	2018-08-27 11:21:28.8	0:00:17	bottom	N	
asgeir	2018-08-27 10:54:52.0	2018-08-27 10:55:04.1	0:00:12	bottom	N	
asgeir	2018-08-27 10:08:53.1	2018-08-27 10:09:01.8	0:00:09	bottom	N	
asgeir	2018-08-27 10:07:31.1	2018-08-27 10:07:52.5	0:00:21	descent	N	
asgeir	2018-08-27 09:47:26.5	2018-08-27 09:47:44.4	0:00:18	descent	N	
asgeir	2018-08-27 08:16:17.1	2018-08-27 08:16:31.7	0:00:15	bottom	N	
asgeir	2018-08-27 07:52:05.7	2018-08-27 07:52:17.5	0:00:12	bottom	N	
asgeir	2018-08-27 07:49:16.1	2018-08-27 07:49:38.7	0:00:23	bottom	N	
asgeir	2018-08-27 07:47:32.1	2018-08-27 07:47:39.1	0:00:07	bottom	N	
asgeir	2018-08-27 07:20:28.3	2018-08-27 07:20:38.4	0:00:10	bottom	N	
asgeir	2018-08-27 05:44:08.2	2018-08-27 05:44:15.5	0:00:07	bottom	N	
asgeir	2018-08-27 05:37:18.6	2018-08-27 05:37:39.2	0:00:21	bottom	N	
asgeir	2018-08-27 05:36:31.6	2018-08-27 05:37:02.6	0:00:31	descent	N	
asgeir	2018-08-27 05:19:09.8	2018-08-27 05:19:18.0	0:00:08	bottom	N	
asgeir	2018-08-27 05:15:45.0	2018-08-27 05:16:11.2	0:00:26	descent	N	
asgeir	2018-08-27 05:12:06.3	2018-08-27 05:12:21.6	0:00:15	descent	N	
asgeir	2018-08-27 04:41:29.3	2018-08-27 04:41:44.3	0:00:15	bottom	N	
asgeir	2018-08-27 04:40:56.8	2018-08-27 04:41:24.7	0:00:28	descent	N	smooth signal, gliding descent
